dsgdb9nsd_000054	CC(C)(C)C
dsgdb9nsd_017707	CC1C2C3C(O)C2N13
dsgdb9nsd_017708	CC1C2C3C1C2N3C
dsgdb9nsd_017709	CN1C2C3C(O)C2C13
dsgdb9nsd_017710	CN1C2C3C1C2N3C
dsgdb9nsd_017711	OC1C2C3C(O)C2C13
dsgdb9nsd_017712	CC1C2C3C1C2C3=O
dsgdb9nsd_017713	CC1C2C3N1C2C3=O
dsgdb9nsd_017714	CN1C2C3C1C2C3=O
dsgdb9nsd_017716	C1C2C3C4C=CC13C24
dsgdb9nsd_017717	C1C2C3C4C=CC13N24
dsgdb9nsd_017719	C1N2C3C4C=CC13C24
dsgdb9nsd_017721	C1C2C3C4CCC13C24
dsgdb9nsd_017722	C1C2C3C4CCC13N24
dsgdb9nsd_017723	C1C2C3C4COC13C24
dsgdb9nsd_017724	C1C2C3C4OCC13C24
dsgdb9nsd_017725	C1C2C3N4CCC13C24
dsgdb9nsd_017726	C1CC23NC4C2N1C34
dsgdb9nsd_017727	C1CC23OC4C2C1C34
dsgdb9nsd_017728	C1CC23OC4C2N1C34
dsgdb9nsd_017729	C1N2C3C4CCC13C24
dsgdb9nsd_017730	C1N2C3C4COC13C24
dsgdb9nsd_017731	C1N2C3C4OCC13C24
dsgdb9nsd_017733	C1CC11C2C3CC2C13
dsgdb9nsd_017734	C1CC11C2C3CC2N13
dsgdb9nsd_017735	C1CC11C2C3CN2C13
dsgdb9nsd_017736	C1CC11C2C3OC2C13
dsgdb9nsd_017737	C1NC11C2C3CN2C13
dsgdb9nsd_017738	C1NC11C2C3OC2C13
dsgdb9nsd_017739	C1OC11C2C3CC2C13
dsgdb9nsd_017740	C1OC11C2C3CN2C13
dsgdb9nsd_017742	CC12CC3C1C1C2N31
dsgdb9nsd_017743	CC12CC3C4C(C13)N24
dsgdb9nsd_017744	CC12CC3C4C(C14)C23
dsgdb9nsd_017745	CC12CC3C4C(C14)N23
dsgdb9nsd_017746	CC12CC3C4C1N4C23
dsgdb9nsd_017747	CC12CN3C4C(C14)C23
dsgdb9nsd_017748	CC12OC3C4C(C14)C23
dsgdb9nsd_017749	CC12OC3C4C1N4C23
dsgdb9nsd_017750	OC12CC3C1C1C2N31
dsgdb9nsd_017751	OC12CC3C4C(C14)C23
dsgdb9nsd_017752	OC12CC3C4C1N4C23
dsgdb9nsd_017753	OC12CN3C4C(C14)C23
dsgdb9nsd_017754	CC12C3C4C(N14)C23O
dsgdb9nsd_017755	CC12C3C4C1C2(C)N34
dsgdb9nsd_017756	CC12C3C4C3C1(C)C24
dsgdb9nsd_017757	CC12C3C4C3C1(C)N24
dsgdb9nsd_017758	CC12C3C4C3C1(O)C24
dsgdb9nsd_017759	CC12C3C4N3C1C24C
dsgdb9nsd_017760	CC12C3C4N3C1C24O
dsgdb9nsd_017763	C#CCC1C2CC1C2
dsgdb9nsd_017764	C#CCC1C2CC1O2
dsgdb9nsd_017765	C#CCN1C2CC1C2
dsgdb9nsd_017766	N#CCC1C2CC1C2
dsgdb9nsd_017767	N#CCC1C2CC1O2
dsgdb9nsd_017768	N#CCC1C2CN1C2
dsgdb9nsd_017769	N#CCN1C2CC1C2
dsgdb9nsd_017770	N=COC1C2CC1C2
dsgdb9nsd_017771	N=COC1C2CC1O2
dsgdb9nsd_017772	O=CCC1C2CC1C2
dsgdb9nsd_017773	O=CCC1C2CC1O2
dsgdb9nsd_017774	O=CCC1C2CN1C2
dsgdb9nsd_017775	O=CCN1C2CC1C2
dsgdb9nsd_017776	O=CNC1C2CC1C2
dsgdb9nsd_017777	O=CNC1C2CC1O2
dsgdb9nsd_017778	O=COC1C2CC1C2
dsgdb9nsd_017780	CC#CC1C2CC1C2
dsgdb9nsd_017781	CC#CC1C2CC1O2
dsgdb9nsd_017782	CC#CC1C2CN1C2
dsgdb9nsd_017783	CCCC1C2CC1C2
dsgdb9nsd_017784	CCCC1C2CC1O2
dsgdb9nsd_017785	CCOC1C2CC1C2
dsgdb9nsd_017786	CCOC1C2CC1O2
dsgdb9nsd_017787	COCC1C2CC1C2
dsgdb9nsd_017788	COCC1C2CC1O2
dsgdb9nsd_017789	COCC1C2CN1C2
dsgdb9nsd_017790	OCCC1C2CC1C2
dsgdb9nsd_017791	OCCC1C2CC1O2
dsgdb9nsd_017792	OCCC1C2CN1C2
dsgdb9nsd_017793	C1CC(C1)C1CCC1
dsgdb9nsd_017794	C1CC(C1)C1CCO1
dsgdb9nsd_017795	C1CC(C1)C1COC1
dsgdb9nsd_017796	C1CC(O1)C1CCO1
dsgdb9nsd_017797	C1CC(O1)C1COC1
dsgdb9nsd_017798	C1CN(C1)C1COC1
dsgdb9nsd_017799	C1OCC1C1COC1
dsgdb9nsd_017800	CC(=O)C1C2CC1C2
dsgdb9nsd_017801	CC(=O)C1C2CC1O2
dsgdb9nsd_017802	CC(=O)C1C2CN1C2
dsgdb9nsd_017803	CC(=O)N1C2CC1C2
dsgdb9nsd_017804	NC(=O)C1C2CC1C2
dsgdb9nsd_017805	NC(=O)C1C2CC1O2
dsgdb9nsd_017806	NC(=O)C1C2CN1C2
dsgdb9nsd_017807	NC(=O)N1C2CC1C2
dsgdb9nsd_017808	[O-]C(=O)C1C2CC1[NH2+]2
dsgdb9nsd_017809	[O-]C(=O)C1C2C[NH+]1C2
dsgdb9nsd_017810	CC(C)C1C2CC1C2
dsgdb9nsd_017811	CC(C)C1C2CC1O2
dsgdb9nsd_017812	CC(O)C1C2CC1C2
dsgdb9nsd_017813	CC(O)C1C2CC1O2
dsgdb9nsd_017814	CC(O)C1C2CN1C2
dsgdb9nsd_017815	CC1CC1C1CCC1
dsgdb9nsd_017816	CC1CC1C1CCO1
dsgdb9nsd_017817	CC1CC1C1COC1
dsgdb9nsd_017818	CC1CN1C1CCC1
dsgdb9nsd_017819	CC1CN1C1COC1
dsgdb9nsd_017820	CC1NC1C1CCO1
dsgdb9nsd_017821	CC1OC1C1CCC1
dsgdb9nsd_017822	CC1OC1C1CCO1
dsgdb9nsd_017823	CC1OC1C1COC1
dsgdb9nsd_017824	CN1CC1C1CCC1
dsgdb9nsd_017825	CN1CC1C1CCO1
dsgdb9nsd_017826	CN1CC1C1COC1
dsgdb9nsd_017827	OC1CC1C1CCC1
dsgdb9nsd_017828	OC1CC1C1CCO1
dsgdb9nsd_017829	OC1CC1C1COC1
dsgdb9nsd_017830	CC(=O)C1C2CCC12
dsgdb9nsd_017831	CC(=O)C1C2CCN12
dsgdb9nsd_017832	CC(=O)C1C2COC12
dsgdb9nsd_017833	CC(=O)N1C2CCC12
dsgdb9nsd_017834	NC(=O)C1C2CCC12
dsgdb9nsd_017835	NC(=O)C1C2CCN12
dsgdb9nsd_017836	NC(=O)C1C2COC12
dsgdb9nsd_017837	NC(=O)N1C2CCC12
dsgdb9nsd_017839	CC(C)C1C2CCC12
dsgdb9nsd_017840	CC(C)C1C2COC12
dsgdb9nsd_017841	CC(O)C1C2CCC12
dsgdb9nsd_017842	CC(O)C1C2CCN12
dsgdb9nsd_017843	CC(O)C1C2COC12
dsgdb9nsd_017844	C1CC2(C1)C1CC2C1
dsgdb9nsd_017845	C1CC2(C1)C1CC2O1
dsgdb9nsd_017846	C1CC2(O1)C1CC2C1
dsgdb9nsd_017847	C1CC2(O1)C1CC2O1
dsgdb9nsd_017848	O1CC2(C1)C1CC2C1
dsgdb9nsd_017849	O1CC2(C1)C1CC2O1
dsgdb9nsd_017850	C1C2CN1C21COC1
dsgdb9nsd_017851	C1CC2(C1)C1CCC21
dsgdb9nsd_017852	C1CC2(C1)C1COC21
dsgdb9nsd_017853	C1CC2(O1)C1CCC21
dsgdb9nsd_017854	C1CC2(O1)C1COC21
dsgdb9nsd_017855	C1CC2C1C21COC1
dsgdb9nsd_017856	C1CN2C1C21COC1
dsgdb9nsd_017857	C1OC2C1C21COC1
dsgdb9nsd_017858	CC1CC11C2CC1C2
dsgdb9nsd_017859	CC1CC11C2CC1O2
dsgdb9nsd_017860	CC1NC11C2CC1O2
dsgdb9nsd_017861	CC1OC11C2CC1C2
dsgdb9nsd_017862	CC1OC11C2CC1O2
dsgdb9nsd_017863	CN1CC11C2CC1O2
dsgdb9nsd_017864	OC1CC11C2CC1C2
dsgdb9nsd_017865	OC1CC11C2CC1O2
dsgdb9nsd_017866	OC1CC11C2CN1C2
dsgdb9nsd_017867	O=C1C2CC1C=CC2
dsgdb9nsd_017870	O=C1C2CC=CC1N2
dsgdb9nsd_017872	O=C1C2CC1CCC2
dsgdb9nsd_017873	O=C1C2CC1COC2
dsgdb9nsd_017874	O=C1C2CC1OCC2
dsgdb9nsd_017876	O=C1C2CCCC1N2
dsgdb9nsd_017877	O=C1C2CCCC1O2
dsgdb9nsd_017878	O=C1C2CNCC1O2
dsgdb9nsd_017879	O=C1C2COCC1N2
dsgdb9nsd_017881	CC1C2CC1C=CC2
dsgdb9nsd_017882	CC1C2CC1N=CO2
dsgdb9nsd_017883	CC1C2CC=CC1O2
dsgdb9nsd_017884	OC1C2CC1C=CC2
dsgdb9nsd_017885	OC1C2CC1N=CO2
dsgdb9nsd_017886	OC1C2CC=CC1O2
dsgdb9nsd_017887	CC1C2CC1CCC2
dsgdb9nsd_017888	CC1C2CC1COC2
dsgdb9nsd_017889	CC1C2CC1OCC2
dsgdb9nsd_017890	CC1C2CC1OCO2
dsgdb9nsd_017891	CC1C2CCCC1O2
dsgdb9nsd_017892	CC1C2CN1CCO2
dsgdb9nsd_017893	CC1C2COCC1O2
dsgdb9nsd_017894	CN1C2CC1COC2
dsgdb9nsd_017895	OC1C2CC1CCC2
dsgdb9nsd_017896	OC1C2CC1COC2
dsgdb9nsd_017897	OC1C2CC1OCC2
dsgdb9nsd_017898	OC1C2CC1OCO2
dsgdb9nsd_017899	OC1C2CCCC1O2
dsgdb9nsd_017900	OC1C2COCC1N2
dsgdb9nsd_017901	OC1C2COCC1O2
dsgdb9nsd_017903	O=C1C2CCC1C=C2
dsgdb9nsd_017905	O=C1C2CCC1CC2
dsgdb9nsd_017906	O=C1C2CCC1OC2
dsgdb9nsd_017907	O=C1C2CNC1CN2
dsgdb9nsd_017908	O=C1C2COC1CN2
dsgdb9nsd_017911	CC1C2C=CC1C=C2
dsgdb9nsd_017912	OC1C2C=CC1C=C2
dsgdb9nsd_017913	CC1C2CCC1C=C2
dsgdb9nsd_017914	CC1C2COC1C=C2
dsgdb9nsd_017915	OC1C2CCC1C=C2
dsgdb9nsd_017916	OC1C2COC1C=C2
dsgdb9nsd_017917	CC1C2CCC1CC2
dsgdb9nsd_017918	CC1C2CCC1OC2
dsgdb9nsd_017919	CC1C2COC1CO2
dsgdb9nsd_017920	CC1C2COC1OC2
dsgdb9nsd_017921	OC1C2CCC1CC2
dsgdb9nsd_017922	OC1C2CCC1OC2
dsgdb9nsd_017923	OC1C2COC1CO2
dsgdb9nsd_017924	OC1C2COC1OC2
dsgdb9nsd_017925	CC12C3CC1CC2C3
dsgdb9nsd_017926	CC12C3CC1OC2C3
dsgdb9nsd_017927	CC12C3CN1CC2O3
dsgdb9nsd_017928	OC12C3CC1CC2C3
dsgdb9nsd_017929	OC12C3CC1OC2C3
dsgdb9nsd_017930	CC12C3CC1=CCC23
dsgdb9nsd_017931	CC12C3CC=C1CN23
dsgdb9nsd_017932	CC12C3CN=C1OC23
dsgdb9nsd_017934	OC12C3CC1=CCC23
dsgdb9nsd_017937	CC12C3CC1C=CC23
dsgdb9nsd_017938	CC12C3OC1C=CC23
dsgdb9nsd_017939	OC12C3CC1C=CC23
dsgdb9nsd_017940	OC12C3NC1C=CC23
dsgdb9nsd_017942	CC12C3CC1CCC23
dsgdb9nsd_017943	CC12C3CC1COC23
dsgdb9nsd_017944	CC12C3CC1OCC23
dsgdb9nsd_017945	CC12C3CCC1OC23
dsgdb9nsd_017946	CC12C3COC1CN23
dsgdb9nsd_017947	CC12C3OC1COC23
dsgdb9nsd_017948	OC12C3CC1CCC23
dsgdb9nsd_017949	OC12C3CC1COC23
dsgdb9nsd_017950	OC12C3CC1OCC23
dsgdb9nsd_017951	OC12C3CCC1OC23
dsgdb9nsd_017952	OC12C3NC1COC23
dsgdb9nsd_017954	C1=CC=CC=CC=C1
dsgdb9nsd_017955	C1C=CCC=CC=C1
dsgdb9nsd_017956	C1CC=CC=CC=C1
dsgdb9nsd_017957	C1CC=CCC=CC1
dsgdb9nsd_017958	C1CC=CCN=CO1
dsgdb9nsd_017959	C1OCC=CCC=C1
dsgdb9nsd_017960	C1CC=CCCC=C1
dsgdb9nsd_017961	C1CN=COCC=C1
dsgdb9nsd_017962	C1CC=CC=CCO1
dsgdb9nsd_017963	C1CCC=CC=CC1
dsgdb9nsd_017964	C1CC=CCOCO1
dsgdb9nsd_017965	C1CCC=CCOC1
dsgdb9nsd_017966	C1CCCC=CCC1
dsgdb9nsd_017967	C1CCOC=NCC1
dsgdb9nsd_017968	C1COC=NCCO1
dsgdb9nsd_017969	C1COCC=CCO1
dsgdb9nsd_017970	C1COCCC=CC1
dsgdb9nsd_017971	C1COCOC=NC1
dsgdb9nsd_017972	C1CCCCCCC1
dsgdb9nsd_017973	C1CCCOCCC1
dsgdb9nsd_017974	C1CCOCCOC1
dsgdb9nsd_017975	C1CCOCOCC1
dsgdb9nsd_017976	C1COCCCOC1
dsgdb9nsd_017977	C1COCOCCO1
dsgdb9nsd_017978	C#CC1CC2CCC12
dsgdb9nsd_017979	C#CC1CC2COC12
dsgdb9nsd_017980	C#CC1CC2OCC12
dsgdb9nsd_017981	C#CC1NC2COC12
dsgdb9nsd_017982	C#CC1OC2CCC12
dsgdb9nsd_017983	C#CC1OC2CNC12
dsgdb9nsd_017985	N#CC1CC2CCC12
dsgdb9nsd_017986	N#CC1CC2CCN12
dsgdb9nsd_017987	N#CC1CC2COC12
dsgdb9nsd_017988	N#CC1CC2OCC12
dsgdb9nsd_017989	N#CC1CN2CCC12
dsgdb9nsd_017990	N#CC1NC2CCC12
dsgdb9nsd_017991	N#CC1NC2CNC12
dsgdb9nsd_017993	N#CC1OC2CCC12
dsgdb9nsd_017996	O=CC1CC2CCC12
dsgdb9nsd_017997	O=CC1CC2CCN12
dsgdb9nsd_017998	O=CC1CC2COC12
dsgdb9nsd_017999	O=CC1CC2OCC12
dsgdb9nsd_018000	O=CC1NC2COC12
dsgdb9nsd_018001	O=CC1OC2CCC12
dsgdb9nsd_018002	O=CC1OC2CNC12
dsgdb9nsd_018004	O=CN1CC2CCC12
dsgdb9nsd_018005	O=CN1CC2OCC12
dsgdb9nsd_018006	CN=C1NC2COC12
dsgdb9nsd_018007	CN=C1OC2CCC12
dsgdb9nsd_018008	CN=C1OC2CNC12
dsgdb9nsd_018009	CN=C1OC2COC12
dsgdb9nsd_018010	CCC1CC2CCC12
dsgdb9nsd_018011	CCC1CC2COC12
dsgdb9nsd_018012	CCC1CC2OCC12
dsgdb9nsd_018013	CCC1OC2CCC12
dsgdb9nsd_018014	CCC1OC2COC12
dsgdb9nsd_018015	CCN1CC2OCC12
dsgdb9nsd_018016	COC1CC2CCC12
dsgdb9nsd_018017	COC1CC2COC12
dsgdb9nsd_018018	COC1CC2OCC12
dsgdb9nsd_018019	COC1CN2CCC12
dsgdb9nsd_018020	OCC1CC2CCC12
dsgdb9nsd_018021	OCC1CC2COC12
dsgdb9nsd_018022	OCC1CC2OCC12
dsgdb9nsd_018023	OCC1NC2COC12
dsgdb9nsd_018024	OCC1OC2CCC12
dsgdb9nsd_018025	OCC1OC2CNC12
dsgdb9nsd_018026	OCC1OC2COC12
dsgdb9nsd_018027	C1CC2=CCCCC12
dsgdb9nsd_018028	C1CC2=CCCOC12
dsgdb9nsd_018029	C1CC2=CCOCC12
dsgdb9nsd_018030	C1NC2=NCCOC12
dsgdb9nsd_018031	C1OC2=NCCCC12
dsgdb9nsd_018032	C1OC2=NCCNC12
dsgdb9nsd_018033	C1OC2=NCCOC12
dsgdb9nsd_018034	C1OC2CCCC=C12
dsgdb9nsd_018035	C1OC2COCC=C12
dsgdb9nsd_018036	C1CC2C=CCCC12
dsgdb9nsd_018037	C1CC2C=CCOC12
dsgdb9nsd_018038	C1CC2N=COCC12
dsgdb9nsd_018039	C1NC2COC=NC12
dsgdb9nsd_018040	C1OC2C=CCCC12
dsgdb9nsd_018041	C1OC2C=CCOC12
dsgdb9nsd_018042	C1OC2CCC=CC12
dsgdb9nsd_018043	C1OC2COC=NC12
dsgdb9nsd_018044	C1CC2CC=CCC12
dsgdb9nsd_018045	C1CC2OC=NCC12
dsgdb9nsd_018046	C1NC2CN=COC12
dsgdb9nsd_018047	C1OC2CC=CCC12
dsgdb9nsd_018048	C1OC2CN=COC12
dsgdb9nsd_018049	C1CC2CCCCC12
dsgdb9nsd_018050	C1CC2COCCC12
dsgdb9nsd_018051	C1CC2OCCCC12
dsgdb9nsd_018052	C1CC2OCCOC12
dsgdb9nsd_018053	C1CC2OCOCC12
dsgdb9nsd_018054	C1OC2CCCCC12
dsgdb9nsd_018055	C1OC2CCCOC12
dsgdb9nsd_018056	C1OC2CCOCC12
dsgdb9nsd_018057	C1OC2COCCC12
dsgdb9nsd_018058	C1OC2COCOC12
dsgdb9nsd_018059	C#CCC1C2CCC12
dsgdb9nsd_018060	C#CCC1C2COC12
dsgdb9nsd_018061	C#CCN1C2CCC12
dsgdb9nsd_018062	N#CCC1C2CCC12
dsgdb9nsd_018063	N#CCC1C2CCN12
dsgdb9nsd_018064	N#CCC1C2COC12
dsgdb9nsd_018065	N#CCN1C2CCC12
dsgdb9nsd_018066	N=COC1C2CCC12
dsgdb9nsd_018067	N=COC1C2COC12
dsgdb9nsd_018068	O=CCC1C2CCC12
dsgdb9nsd_018069	O=CCC1C2CCN12
dsgdb9nsd_018070	O=CCC1C2COC12
dsgdb9nsd_018071	O=CCN1C2CCC12
dsgdb9nsd_018072	O=CNC1C2CCC12
dsgdb9nsd_018073	O=CNC1C2COC12
dsgdb9nsd_018074	O=COC1C2CCC12
dsgdb9nsd_018076	CC#CC1C2CCC12
dsgdb9nsd_018077	CC#CC1C2CCN12
dsgdb9nsd_018078	CC#CC1C2COC12
dsgdb9nsd_018079	CCCC1C2CCC12
dsgdb9nsd_018080	CCCC1C2COC12
dsgdb9nsd_018081	CCOC1C2CCC12
dsgdb9nsd_018082	CCOC1C2COC12
dsgdb9nsd_018083	COCC1C2CCC12
dsgdb9nsd_018084	COCC1C2CCN12
dsgdb9nsd_018085	COCC1C2COC12
dsgdb9nsd_018086	OCCC1C2CCC12
dsgdb9nsd_018087	OCCC1C2CCN12
dsgdb9nsd_018088	OCCC1C2COC12
dsgdb9nsd_018089	OCCN1C2CCC12
dsgdb9nsd_018090	C1C=CC2C=CCC12
dsgdb9nsd_018091	C1C=CC2N=COC12
dsgdb9nsd_018092	C1N=CN2C=NCC12
dsgdb9nsd_018093	C1C=CC2CC=CC12
dsgdb9nsd_018094	C1C=CC2OC=NC12
dsgdb9nsd_018095	C1CC2=C(C1)CCC2
dsgdb9nsd_018096	C1CC2=C(C1)COC2
dsgdb9nsd_018097	C1OCC2=C1COC2
dsgdb9nsd_018098	C1CC2=CCCC2=C1
dsgdb9nsd_018099	C1OC2=NCCC2=C1
dsgdb9nsd_018100	C1CC2C=CCC2=C1
dsgdb9nsd_018101	C1CC2N=CNC2=N1
dsgdb9nsd_018102	C1CN2C=NCC2=N1
dsgdb9nsd_018103	C1OC2C=CCC2=C1
dsgdb9nsd_018104	C1CC2CC=CC2=C1
dsgdb9nsd_018105	C1OC2CC=CC2=C1
dsgdb9nsd_018106	C1CC2C=CCC2O1
dsgdb9nsd_018107	C1CC2CC=CC2C1
dsgdb9nsd_018108	C1CC2CC=CC2O1
dsgdb9nsd_018109	C1CC2N=COC2O1
dsgdb9nsd_018110	C1CC2OC=NC2C1
dsgdb9nsd_018111	C1OC2CC=CC2O1
dsgdb9nsd_018112	C1OCC2C=CCC12
dsgdb9nsd_018113	C1OCC2N=COC12
dsgdb9nsd_018114	C1CC2=CCCC2O1
dsgdb9nsd_018115	C1CC2=CCOC2O1
dsgdb9nsd_018116	C1CC2CCC=C2C1
dsgdb9nsd_018117	C1CC2CCN=C2O1
dsgdb9nsd_018118	C1CC2COCC2=C1
dsgdb9nsd_018119	C1CC2OCC=C2C1
dsgdb9nsd_018120	C1OC2CCN=C2O1
dsgdb9nsd_018121	C1CN2CCN=C2O1
dsgdb9nsd_018122	C1OC2COCC2=C1
dsgdb9nsd_018123	C1CC2CCCC2C1
dsgdb9nsd_018124	C1CC2CCOC2C1
dsgdb9nsd_018125	C1CC2CCOC2O1
dsgdb9nsd_018126	C1CC2COCC2C1
dsgdb9nsd_018127	C1CC2COCC2O1
dsgdb9nsd_018128	C1CC2OCCC2O1
dsgdb9nsd_018129	C1CC2OCOC2C1
dsgdb9nsd_018130	C1OC2COCC2O1
dsgdb9nsd_018131	C1OCC2COCC12
dsgdb9nsd_018132	CC1C2C(CN12)C#N
dsgdb9nsd_018133	CC1C2CC(C#C)C12
dsgdb9nsd_018134	CC1C2CC(C#C)N12
dsgdb9nsd_018135	CC1C2CC(C#N)C12
dsgdb9nsd_018136	CC1C2CC(C#N)N12
dsgdb9nsd_018137	CC1C2NC(C#N)C12
dsgdb9nsd_018138	CC1C2OC(C#C)C12
dsgdb9nsd_018139	CC1C2OC(C#N)C12
dsgdb9nsd_018140	CN1C2CC(C#N)C12
dsgdb9nsd_018141	OC1C2CC(C#C)C12
dsgdb9nsd_018142	OC1C2CC(C#N)C12
dsgdb9nsd_018146	CC1C2C(CN12)C=O
dsgdb9nsd_018147	CC1C2CC(C=O)C12
dsgdb9nsd_018148	CC1C2CC(C=O)N12
dsgdb9nsd_018149	CC1C2CN(C=O)C12
dsgdb9nsd_018150	CC1C2OC(C=O)C12
dsgdb9nsd_018151	CN1C2CC(C=O)C12
dsgdb9nsd_018152	OC1C2CC(C=O)C12
dsgdb9nsd_018153	OC1C2CN(C=O)C12
dsgdb9nsd_018155	CN=C1OC2C(C)C12
dsgdb9nsd_018156	CN=C1OC2C(O)C12
dsgdb9nsd_018157	CC1C2C(CO)CN12
dsgdb9nsd_018158	CC1C2CC(CO)C12
dsgdb9nsd_018159	CC1C2CC(CO)N12
dsgdb9nsd_018160	CC1C2OC(CO)C12
dsgdb9nsd_018161	CCC1CC2C(C)C12
dsgdb9nsd_018162	CCC1CC2C(O)C12
dsgdb9nsd_018163	CCC1OC2C(C)C12
dsgdb9nsd_018164	CCC1OC2C(O)C12
dsgdb9nsd_018165	CN1C2CC(CO)C12
dsgdb9nsd_018166	COC1CC2C(C)C12
dsgdb9nsd_018167	COC1CC2C(O)C12
dsgdb9nsd_018168	COC1CC2C1N2C
dsgdb9nsd_018169	COC1CN2C(C)C12
dsgdb9nsd_018170	OCC1CC2C(O)C12
dsgdb9nsd_018171	OCC1OC2C(O)C12
dsgdb9nsd_018172	C#CC1=CCC2CC12
dsgdb9nsd_018173	C#CC1=CCC2NC12
dsgdb9nsd_018176	N#CC1=CCC2CC12
dsgdb9nsd_018181	C#CC1C=CC2CC12
dsgdb9nsd_018182	C#CC1C=CC2CN12
dsgdb9nsd_018183	C#CC1C=CC2NC12
dsgdb9nsd_018186	N#CC1C=CC2CC12
dsgdb9nsd_018191	C#CC1CCC2CC12
dsgdb9nsd_018192	C#CC1CCC2CN12
dsgdb9nsd_018193	C#CC1CCC2NC12
dsgdb9nsd_018194	C#CC1CCC2OC12
dsgdb9nsd_018195	C#CC1COC2CC12
dsgdb9nsd_018196	C#CC1OCC2CC12
dsgdb9nsd_018197	C#CC1OCC2NC12
dsgdb9nsd_018199	N#CC1CCC2CC12
dsgdb9nsd_018200	N#CC1CCC2CN12
dsgdb9nsd_018201	N#CC1CCC2NC12
dsgdb9nsd_018202	N#CC1CCC2OC12
dsgdb9nsd_018203	N#CC1CCN2CC12
dsgdb9nsd_018204	N#CC1COC2CC12
dsgdb9nsd_018205	N#CC1NCC2CC12
dsgdb9nsd_018206	N#CC1NCC2NC12
dsgdb9nsd_018208	N#CC1OCC2CC12
dsgdb9nsd_018211	O=CC1=CCC2CC12
dsgdb9nsd_018212	O=CC1=CCC2NC12
dsgdb9nsd_018214	O=CC1=CCN2CC12
dsgdb9nsd_018215	O=CC1=CNC2CC12
dsgdb9nsd_018217	O=CC1C=CC2CC12
dsgdb9nsd_018218	O=CC1C=CC2CN12
dsgdb9nsd_018219	O=CC1C=CC2NC12
dsgdb9nsd_018222	O=CN1C=CC2CC12
dsgdb9nsd_018224	O=CC1CCC2CC12
dsgdb9nsd_018225	O=CC1CCC2CN12
dsgdb9nsd_018226	O=CC1CCC2NC12
dsgdb9nsd_018227	O=CC1CCC2OC12
dsgdb9nsd_018228	O=CC1CCN2CC12
dsgdb9nsd_018229	O=CC1COC2CC12
dsgdb9nsd_018230	O=CC1NCC2OC12
dsgdb9nsd_018231	O=CC1OCC2CC12
dsgdb9nsd_018232	O=CC1OCC2NC12
dsgdb9nsd_018234	O=CN1CCC2CC12
dsgdb9nsd_018235	CN=C1OCC2CC12
dsgdb9nsd_018236	CN=C1OCC2CN12
dsgdb9nsd_018237	CN=C1OCC2NC12
dsgdb9nsd_018238	CN=C1OCC2OC12
dsgdb9nsd_018239	CCC1=CCC2CC12
dsgdb9nsd_018240	CCC1=CCC2NC12
dsgdb9nsd_018241	CCC1=CCC2OC12
dsgdb9nsd_018242	COC1=NCC2CN12
dsgdb9nsd_018243	OCC1=CCC2CC12
dsgdb9nsd_018244	OCC1=CCC2NC12
dsgdb9nsd_018245	OCC1=CCC2OC12
dsgdb9nsd_018246	OCC1=CCN2CC12
dsgdb9nsd_018247	OCC1=NCC2CN12
dsgdb9nsd_018248	CCC1C=CC2CC12
dsgdb9nsd_018249	CCC1C=CC2NC12
dsgdb9nsd_018250	CCC1C=CC2OC12
dsgdb9nsd_018251	COC1C=CC2CC12
dsgdb9nsd_018252	COC1C=CC2NC12
dsgdb9nsd_018253	COC1C=CC2OC12
dsgdb9nsd_018254	OCC1C=CC2CC12
dsgdb9nsd_018255	OCC1C=CC2CN12
dsgdb9nsd_018256	OCC1C=CC2NC12
dsgdb9nsd_018257	OCC1C=CC2OC12
dsgdb9nsd_018258	CCC1CCC2CC12
dsgdb9nsd_018259	CCC1CCC2OC12
dsgdb9nsd_018260	CCC1COC2CC12
dsgdb9nsd_018261	CCC1OCC2CC12
dsgdb9nsd_018262	CCC1OCC2NC12
dsgdb9nsd_018263	CCC1OCC2OC12
dsgdb9nsd_018264	COC1CCC2CC12
dsgdb9nsd_018265	COC1CCC2NC12
dsgdb9nsd_018266	COC1CCC2OC12
dsgdb9nsd_018267	COC1CCN2CC12
dsgdb9nsd_018268	COC1COC2CC12
dsgdb9nsd_018269	COC1OCC2CC12
dsgdb9nsd_018270	COC1OCC2NC12
dsgdb9nsd_018271	COC1OCC2OC12
dsgdb9nsd_018272	OCC1CCC2CC12
dsgdb9nsd_018273	OCC1CCC2CN12
dsgdb9nsd_018274	OCC1CCC2NC12
dsgdb9nsd_018275	OCC1CCC2OC12
dsgdb9nsd_018276	OCC1CCN2CC12
dsgdb9nsd_018277	OCC1COC2CC12
dsgdb9nsd_018278	OCC1OCC2CC12
dsgdb9nsd_018279	OCC1OCC2NC12
dsgdb9nsd_018280	OCC1OCC2OC12
dsgdb9nsd_018281	CC1C2CC=CCC12
dsgdb9nsd_018282	CC1C2CN=COC12
dsgdb9nsd_018283	OC1C2CC=CCC12
dsgdb9nsd_018284	OC1C2CN=COC12
dsgdb9nsd_018285	CC1C2CCC=CC12
dsgdb9nsd_018286	CC1C2COC=NC12
dsgdb9nsd_018287	CC1C2OCC=CC12
dsgdb9nsd_018288	OC1C2CCC=CC12
dsgdb9nsd_018289	OC1C2COC=NC12
